id,category,text,relevantText
1,86,"
Hallo,

ich habe seit 2 Tagen in meiner Warehouse Software 
unter Exportieren-File
Optionen ein fast nicht lesbare Schrift. Wie kann ich diese wieder
aendern.

    
        ","ich habe seit 2 Tagen in meiner Warehouse Software 
unter Exportieren-File
Optionen ein fast nicht lesbare Schrift."
2,86,"
Ich habe alle Versionen Sales firstclass von 2006 bis heute. Am Samstag
bekam
die Version WAREHOUSE Sales firstclass 20 Neo, musste nach der Installation
feststellen, dass die Beschriftung der Knoepfe im Exportbildschirm
nicht lesbar sind (z.B. Dateiformat, Navigation, Komprimierung, Schrift,
Sortieren
u.s.w. die komplette Beschriftung unter File-Optionen, Titelseite gestalten
und
Knoepfe gestalten. Nach einer Deinstallation und einer erneuten
Installation hat sich die Darstellung im Exportbildschirm nicht
geaendert.
Da ich Warehouse Schulungen fuer Firmenchefs durchfuehre, ist ein
ordnungsgemaesses Arbeiten nicht moeglich.  

    
        ","Am Samstag
bekam
die Version WAREHOUSE Sales firstclass 20 Neo, musste nach der Installation
feststellen, dass die Beschriftung der Knoepfe im Exportbildschirm
nicht lesbar sind (z.B. Dateiformat, Navigation, Komprimierung, Schrift,
Sortieren
u.s.w. die komplette Beschriftung unter File-Optionen, Titelseite gestalten
und
Knoepfe gestalten."
3,86,"
Hallo, ich habe 3 Fragen zu ""Sales firstclass WH Neo"":
1. Im Übersichts-Modus habe ich mit dem Ablaufmarker (blaue Linie mit Beginn- und Endmarkierung) einen Teil des Ablaufes markiert. Die Exportroutine exportiert aber den gesamten Ablauf, also auch das was außerhalb des Ablaufmarkers ist. Ist das ein Programmfehler (bei ""Sales firstclass 2008"" wird nur korrekt der Ablaufteil zwischen dem Beginn- und Endzeiger gebrannt)?
2. Im Exportmodus ist die Schrift im kleinen Vorschaufenster im Filemenü immer identisch mit der Schrift der Überschriftzeile vom Untermenü. Wie kann ich diese Verknüpfung lösen, oder ist das ein Programmfehler?
3. Gibt es eine vollständige Anleitung, evtl. zum herunterladen oder zu bestellen?
M.f.G. Miraculix

    
        ",Im Exportmodus ist die Schrift im kleinen Vorschaufenster im Filemenü immer identisch mit der Schrift der Überschriftzeile vom Untermenü.
4,57,"
Auf meinem Specificationsheet werden die Textbausteine nur noch als Sprechblase angezeigt, ich hätte
heute eine Onlinepräsentation meines Specificationsheets gehabt, um einen Sponsor zu gewinnen. Dieser
ist nun abgesprungen! Danke für eine solch toll funtionierende Technik ich bin stinkesauer!
Ich hoffe und erwarte, dass das Specificationsheet umgehend wieder einsatzfähig ist, schade bisher
konnte ich mich auf Warehouse halbwegs verlassen! Ich bitte um eine Antwort die nicht wieder
21 Tage dauert!

    
        ","Auf meinem Specificationsheet werden die Textbausteine nur noch als Sprechblase angezeigt, ich hätte
heute eine Onlinepräsentation meines Specificationsheets gehabt, um einen Sponsor zu gewinnen."
5,57,"
Seit Ihrem update kommen komische Blasen auf meinem Blatt zu Vorschein, die ich aber nicht
reingemacht habe !

    
        ","Seit Ihrem update kommen komische Blasen auf meinem Blatt zu Vorschein, die ich aber nicht
reingemacht habe !"
6,57,"
auf meinem detailsheet http://www.rhein-main-versand.de sind seit gestern
abend einige Calibri-Texte durch blaue Sprechblasen(?!) ersetzt, u.a. auch das
Impressum - im lokalen specificationsheet-creator erscheinen die texte aber korrekt und bereit
zur Freischaltung - würde mich riesig freuenm, wenn Sie die blauen Sprechblasen
wieder durch die entsprechenden Texte ersetzen könnten :)

    
        ","auf meinem detailsheet http://www.rhein-main-versand.de sind seit gestern
abend einige Calibri-Texte durch blaue Sprechblasen(?!) ersetzt, u.a. auch das
Impressum"
7,57,"
Sehr geehrte Damen und Herren, 

leider kann ich ab heute nicht mehr meine Sammlungen verwalten.
Es tut sich bei Auswahl des entsprechenden Buttons gar nichts mehr.

Können Sie diesen Fehler beheben?

Mit freundlichen Grüßen

Kruksel Gueney

    
        ","leider kann ich ab heute nicht mehr meine Sammlungen verwalten.
Es tut sich bei Auswahl des entsprechenden Buttons gar nichts mehr."
8,57,"
Ich habe die Online-Sammlung als Link in einem meiner Blätter meines Specificationsheets eingebunden. Als Konfiguration habe ich gewählt""öffnen im gleichen Fenster"".
Trotzdem öffnet sich dann die Online-Sammlung in einem neuen Fenster, welches aber nur halbe Bildschirmgröße erreicht. D.H., es muß von Hand auf volle Bildschirmgröße gebracht werden.

Weiterhin treten in der Online-Sammlung zwei Probleme auf:
1. Die Artikel-Preview läuft meistens links oben in der  Ecke und wird von dem weißen Balken (Meine Sammlungen etc.) zum Teil überdeckt.
3. Die eingebundenen Statistiken werden nicht immer gezeigt.

Vorab vielen Dank für eine Rückantwort

Jürgen Plantsch

    
        ","Trotzdem öffnet sich dann die Online-Sammlung in einem neuen Fenster, welches aber nur halbe Bildschirmgröße erreicht. D.H., es muß von Hand auf volle Bildschirmgröße gebracht werden."
9,57,"
Hallo!
Habe heute meine Online-Sammlung von Shockwave auf XML-Version umgestellt. Warum werden Änderungen in den Sammlungen nicht
wirksam? Habe Cookies und Cache geleert.
Möchte gerne die Studio-Version nutzen, aber ich kann die Previewbilder nicht austauschen, obwohl sie im Online-Organizer gelöscht wurden - d.h. ich habe die Reihenfolge der Produkte so verändert bzw. Produkte gelöscht,damit die Preview immer das erste Produkt zeigt, aber es passiert nichts.
Ich wäre für Hilfe sehr dankbar.

Mit freundlichen Grüßen

Clara Frieden

    
        ","Möchte gerne die Studio-Version nutzen, aber ich kann die Previewbilder nicht austauschen, obwohl sie im Online-Organizer gelöscht wurden - d.h. ich habe die Reihenfolge der Produkte so verändert bzw. Produkte gelöscht,damit die Preview immer das erste Produkt zeigt, aber es passiert nichts."
10,57,"
Ich habe mit dem Specssheet Creator firstclass ein Specificationsheet-Projekt erstellt und freigeschaltet - soweit hat alles ohne probleme funktioniert und ist unter der Webadresse get-prominent.warehouse.net ordnungsgemäß angezeigt worden. Plötzlich wurden Daten nicht mehr geladen bzw.nur der ladevorgang (kreisende punkte)angezeigt,Texte verschoben dargestellt. Ich wollte dieses Problem im Specssheet Creator beheben mußte aber feststellen das ein bearbeiten des Projektes nich möglich ist. Was bitte ist das Problem. 

    
        ","Plötzlich wurden Daten nicht mehr geladen bzw.nur der ladevorgang (kreisende punkte)angezeigt,Texte verschoben dargestellt."
