id,category,text,relevantText
1,86,"Hello,  I have had software in my warehouse for 2 days  under Export-File  Options an almost illegible font. How can I do this again  to change. ",I have had software in my warehouse for 2 days  under Export-File  Options an almost illegible font. 
2,86,"I have all sales firstclass versions from 2006 until today. On Saturday  got  the version WAREHOUSE Sales firstclass 20 Neo, had to be installed after the installation  notice that the label of the buttons in the export screen  are not readable (e.g. file format, navigation, compression, font,  sort by  etc. design the complete labeling under file options, title page  and  Design buttons. After an uninstallation and a new  Installation has not shown in the export screen  changed.  Since I conduct warehouse training for company directors, a  Proper work not possible. ","On Saturday  got  the version WAREHOUSE Sales firstclass 20 Neo, had to be installed after the installation  notice that the label of the buttons in the export screen  are not readable (e.g. file format, navigation, compression, font,  sort by  etc. design the complete labeling under file options, title page  and  Design buttons. "
3,86,"Hello, I have 3 questions about ""Sales firstclass WH Neo"":  1. In the overview mode, I marked part of the process with the process marker (blue line with start and end markings). The export routine exports the entire process, including what is outside of the process marker. Is that a program error (in ""Sales firstclass 2008"" only the process part between the start and end pointer is correctly burned)?  2. In export mode, the font in the small preview window in the file menu is always identical to the font in the heading line from the submenu. How can I break this link, or is it a program error?  3. Are there complete instructions, possibly to download or order?  Kind regards. Miraculix ","In export mode, the font in the small preview window in the file menu is always identical to the font in the heading line from the submenu. "
4,57,"On my specification sheet, the text modules are only displayed as a speech bubble, I should have  had an online presentation of my specificationsheets today to win a sponsor. This  has now jumped off! Thanks for such a great technology, I'm pissed off!  I hope and expect that the specification sheet will be operational again immediately, which is a shame so far  I could rely on Warehouse halfway! I ask for an answer that won't come back  Takes 21 days! ","On my specification sheet, the text modules are only displayed as a speech bubble, I should have  had an online presentation of my specificationsheets today to win a sponsor. "
5,57,"Since your update, strange bubbles have appeared on my sheet, but I haven't  have cleaned! ","Since your update, strange bubbles have appeared on my sheet, but I haven't  have cleaned! "
6,57,"on my detailsheet http://www.rhein-main-versand.de since yesterday  evening some Calibri texts were replaced by blue speech bubbles (?!), including that  Imprint - in the local specifications sheet creator, the texts appear correct and ready  for activation - I would be very happy if you could use the blue speech bubbles  Replace with the appropriate texts again :) ","on my detailsheet http://www.rhein-main-versand.de since yesterday  evening some Calibri texts were replaced by blue speech bubbles (?!), including that  imprint "
7,57,"Dear Sirs,  Unfortunately, as of today I can no longer manage my collections.  Nothing happens when you select the corresponding button.  Can you fix this error?  With best regards  Kruksel Gueney ","Unfortunately, as of today I can no longer manage my collections.  Nothing happens when you select the corresponding button. "
8,57,"I have included the online collection as a link in one of my specifications sheets. I chose ""open in the same window"" as the configuration.  Nevertheless, the online collection then opens in a new window, which is only half the screen size. That means it has to be brought to full screen size by hand.  There are also two problems with the online collection:  1. The article preview usually runs in the top left corner and is partially covered by the white bar (My collections etc.).  3. The integrated statistics are not always shown.  Thank you in advance for your reply  Jürgen Plantsch ","Nevertheless, the online collection then opens in a new window, which is only half the screen size. That means it has to be brought to full screen size by hand. "
9,57,"Hello!  Today I switched my online collection from Shockwave to XML version. Why aren't changes in the collections  effective? Cleared cookies and cache.  I would like to use the studio version, but I cannot exchange the preview images even though they have been deleted in the online organizer - ie I have changed the order of the products or deleted products so that the preview always shows the first product, but it does nothing happens.  I would be very grateful for any help.  With best regards  Clara peace ","I would like to use the studio version, but I cannot exchange the preview images even though they have been deleted in the online organizer - ie I have changed the order of the products or deleted products so that the preview always shows the first product, but it does nothing happens. "
10,57,"I created and activated a specificationsheet project with the Specssheet Creator firstclass - so far everything worked without problems and was properly displayed at the web address get-prominent.warehouse.net. Suddenly data was no longer loaded or only the loading process (circling points) was displayed, texts were displayed shifted. I wanted to fix this problem in Specssheet Creator but had to find out that editing the project is not possible. What is the problem please. ","Suddenly data was no longer loaded or only the loading process (circling points) was displayed, texts were displayed shifted. "
